                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      64601 |     100560 |      49832 |      46535 |      49525 |      47068 |      45886 |      52297
  Cycles                             |     315315 |     304467 |     304395 |     306273 |     304510 |     309021 |     309068 |     304423
  IPC                                |       0.20 |       0.33 |       0.16 |       0.15 |       0.16 |       0.15 |       0.15 |       0.17
  Time (ns)                          |     118540 |     114462 |     114435 |     115141 |     114478 |     116174 |     116191 |     114445
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       6870 |      16743 |       4888 |       4420 |       4855 |       4471 |       4323 |       5303
  num incorrect                      |        654 |        575 |        456 |        396 |        446 |        415 |        361 |        486
  misprediction rate                 |      8.69% |      3.32% |      8.53% |      8.22% |      8.41% |      8.49% |      7.71% |      8.40%
  mpki                               |      10.12 |       5.72 |       9.15 |       8.51 |       9.01 |       8.82 |       7.87 |       9.29
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |       6077 |       4778 |       4090 |       3772 |       4044 |       3839 |       3753 |       4274
    num misses                       |          7 |         35 |         32 |         33 |         32 |         32 |         26 |         34
    miss rate                        |      0.12% |      0.73% |      0.78% |      0.87% |      0.79% |      0.83% |      0.69% |      0.80%
    mpki                             |       0.11 |       0.35 |       0.64 |       0.71 |       0.65 |       0.68 |       0.57 |       0.65
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      20914 |      16791 |      13647 |      12251 |      13525 |      12463 |      12020 |      14668
    num misses                       |         69 |         90 |         71 |         54 |         68 |         54 |         35 |         74
    miss rate                        |      0.33% |      0.54% |      0.52% |      0.44% |      0.50% |      0.43% |      0.29% |      0.50%
    mpki                             |       1.07 |       0.89 |       1.42 |       1.16 |       1.37 |       1.15 |       0.76 |       1.41
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         76 |        125 |        103 |         87 |        100 |         86 |         61 |        108
    num misses                       |         30 |        104 |         93 |         85 |         92 |         84 |         61 |         99
    miss rate                        |     39.47% |     83.20% |     90.29% |     97.70% |     92.00% |     97.67% |    100.00% |     91.67%
    mpki                             |       0.46 |       1.03 |       1.87 |       1.83 |       1.86 |       1.78 |       1.33 |       1.89
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |       6077 |       4778 |       4090 |       3772 |       4044 |       3839 |       3753 |       4274
    num cache misses                 |        243 |        248 |        225 |        228 |        226 |        223 |        176 |        229
    miss rate                        |      4.00% |      5.19% |      5.50% |      6.04% |      5.59% |      5.81% |      4.69% |      5.36%
    mpki                             |       3.76 |       2.47 |       4.52 |       4.90 |       4.56 |       4.74 |       3.84 |       4.38
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      21133 |      16900 |      13764 |      12344 |      13627 |      12580 |      12135 |      14766
    num cache misses                 |        645 |        609 |        519 |        453 |        515 |        472 |        395 |        563
    miss rate                        |      3.05% |      3.60% |      3.77% |      3.67% |      3.78% |      3.75% |      3.26% |      3.81%
    mpki                             |       9.98 |       6.06 |      10.41 |       9.73 |      10.40 |      10.03 |       8.61 |      10.77
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        946 |        910 |        805 |        729 |        802 |        747 |        628 |        850
    num cache misses                 |        609 |        825 |        723 |        664 |        719 |        669 |        555 |        766
    miss rate                        |     64.38% |     90.66% |     89.81% |     91.08% |     89.65% |     89.56% |     88.38% |     90.12%
    mpki                             |       9.43 |       8.20 |      14.51 |      14.27 |      14.52 |      14.21 |      12.10 |      14.65
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        701 |        878 |        784 |        712 |        784 |        725 |        616 |        828
    num cache misses                 |        414 |        268 |        210 |        231 |        382 |        271 |        261 |        589
    miss rate                        |     59.06% |     30.52% |     26.79% |     32.44% |     48.72% |     37.38% |     42.37% |     71.14%
    mpki                             |       6.41 |       2.67 |       4.21 |       4.96 |       7.71 |       5.76 |       5.69 |      11.26
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        579 |          0 |          0 |          0 |        568 |          0 |          0 |          0
  average dram access latency (ns)   |      65.39 |        inf |        inf |        inf |      64.86 |        inf |        inf |        inf
  average dram queueing delay        |      11.96 |       0.00 |       0.00 |       0.00 |      11.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         26 |         42 |         20 |         20 |         10 |         12 |         10 |         11
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         63 |         61 |         60 |         60 |        177 |        135 |        131 |        286
