                                     | Core 0     | Core 1    
  Instructions                       |     173315 |     190680
  Cycles                             |     157566 |     156880
  IPC                                |       1.10 |       1.22
  Time (ns)                          |      59236 |      58978
Branch predictor stats               |            |           
  num correct                        |      16384 |      20534
  num incorrect                      |       1146 |       1165
  misprediction rate                 |      6.54% |      5.37%
  mpki                               |       6.61 |       6.11
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      13622 |      13726
    num misses                       |          8 |         34
    miss rate                        |      0.06% |      0.25%
    mpki                             |       0.05 |       0.18
  D-TLB                              |            |           
    num accesses                     |      44267 |      44762
    num misses                       |         35 |         84
    miss rate                        |      0.08% |      0.19%
    mpki                             |       0.20 |       0.44
  L2 TLB                             |            |           
    num accesses                     |         43 |        118
    num misses                       |         15 |        101
    miss rate                        |     34.88% |     85.59%
    mpki                             |       0.09 |       0.53
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13622 |      13726
    num cache misses                 |        211 |        242
    miss rate                        |      1.55% |      1.76%
    mpki                             |       1.22 |       1.27
  Cache L1-D                         |            |           
    num cache accesses               |      44367 |      44829
    num cache misses                 |        872 |       1013
    miss rate                        |      1.97% |      2.26%
    mpki                             |       5.03 |       5.31
  Cache L2                           |            |           
    num cache accesses               |       1165 |       1320
    num cache misses                 |        552 |       1178
    miss rate                        |     47.38% |     89.24%
    mpki                             |       3.18 |       6.18
  Cache L3                           |            |           
    num cache accesses               |        700 |       1243
    num cache misses                 |        323 |        328
    miss rate                        |     46.14% |     26.39%
    mpki                             |       1.86 |       1.72
DRAM summary                         |            |           
  num dram accesses                  |        651 |          0
  average dram access latency (ns)   |     139.82 |        inf
  average dram queueing delay        |      86.39 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         26 |         71
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
