                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3921792 |    3775819 |    4046546 |    3997211 |    4190374 |    3982291 |    3766598 |    3945167 |    3608129 |    4044818 |    3961586 |    4185190 |    3889775 |    4197324 |    3997682 |    4344201
  Cycles                             |    2121510 |    2074262 |    2103565 |    2089798 |    2074791 |    2103966 |    2075053 |    2075784 |    2078923 |    2076344 |    2092526 |    2081605 |    2100646 |    2087166 |    2095309 |    2097878
  IPC                                |       1.85 |       1.82 |       1.92 |       1.91 |       2.02 |       1.89 |       1.82 |       1.90 |       1.74 |       1.95 |       1.89 |       2.01 |       1.85 |       2.01 |       1.91 |       2.07
  Time (ns)                          |     797560 |     779798 |     790814 |     785639 |     779997 |     790965 |     780095 |     780370 |     781550 |     780581 |     786664 |     782559 |     789717 |     784649 |     787710 |     788676
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     629532 |     451917 |     990524 |     886927 |    1138727 |     821232 |     619320 |     718425 |     447082 |     928689 |     829675 |    1033778 |     728339 |    1120233 |     779466 |    1168073
  num incorrect                      |       5313 |       7459 |       4517 |       4276 |       3223 |       4292 |       6256 |       4231 |       7082 |       3060 |       3922 |       3492 |       5968 |       3668 |       3769 |       3302
  misprediction rate                 |      0.84% |      1.62% |      0.45% |      0.48% |      0.28% |      0.52% |      1.00% |      0.59% |      1.56% |      0.33% |      0.47% |      0.34% |      0.81% |      0.33% |      0.48% |      0.28%
  mpki                               |       1.35 |       1.98 |       1.12 |       1.07 |       0.77 |       1.08 |       1.66 |       1.07 |       1.96 |       0.76 |       0.99 |       0.83 |       1.53 |       0.87 |       0.94 |       0.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
