                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5274122 |    4783991 |    5508637 |    5260460 |    5591922 |    4916896 |    4889194 |    4816247
  Cycles                             |    2560478 |    2549377 |    2546246 |    2544035 |    2552344 |    2546617 |    2555478 |    2555255
  IPC                                |       2.06 |       1.88 |       2.16 |       2.07 |       2.19 |       1.93 |       1.91 |       1.88
  Time (ns)                          |     962586 |     958413 |     957236 |     956404 |     959528 |     957375 |     960706 |     960622
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     851372 |     500920 |     989189 |     526789 |    1214495 |     675538 |     462648 |     668428
  num incorrect                      |       8080 |       8117 |       6303 |       8799 |       5619 |       5819 |       6429 |       7868
  misprediction rate                 |      0.94% |      1.59% |      0.63% |      1.64% |      0.46% |      0.85% |      1.37% |      1.16%
  mpki                               |       1.53 |       1.70 |       1.14 |       1.67 |       1.00 |       1.18 |       1.31 |       1.63
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     269069 |     296432 |     250268 |     372719 |     189014 |     254055 |     309536 |     240182
    num misses                       |         16 |         53 |         50 |         52 |         45 |         44 |         44 |         52
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1953629 |    2056368 |    1963199 |    1996429 |    1978568 |    1998552 |    2009420 |    2047171
    num misses                       |        616 |        656 |        577 |        692 |        497 |        837 |        669 |        622
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.12 |       0.14 |       0.10 |       0.13 |       0.09 |       0.17 |       0.14 |       0.13
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        632 |        709 |        627 |        744 |        542 |        881 |        713 |        674
    num misses                       |        242 |        395 |        314 |        340 |        279 |        370 |        384 |        357
    miss rate                        |     38.29% |     55.71% |     50.08% |     45.70% |     51.48% |     42.00% |     53.86% |     52.97%
    mpki                             |       0.05 |       0.08 |       0.06 |       0.06 |       0.05 |       0.08 |       0.08 |       0.07
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     269069 |     296432 |     250268 |     372719 |     189014 |     254055 |     309536 |     240182
    num cache misses                 |       1032 |       1108 |        947 |       1245 |        782 |       1010 |       1026 |       1018
    miss rate                        |      0.38% |      0.37% |      0.38% |      0.33% |      0.41% |      0.40% |      0.33% |      0.42%
    mpki                             |       0.20 |       0.23 |       0.17 |       0.24 |       0.14 |       0.21 |       0.21 |       0.21
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1954335 |    2057193 |    1963985 |    1997174 |    1979289 |    1999748 |    2010346 |    2047821
    num cache misses                 |      14151 |      24084 |      14502 |      17591 |      12201 |      20591 |      22213 |      19912
    miss rate                        |      0.72% |      1.17% |      0.74% |      0.88% |      0.62% |      1.03% |      1.10% |      0.97%
    mpki                             |       2.68 |       5.03 |       2.63 |       3.34 |       2.18 |       4.19 |       4.54 |       4.13
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15397 |      25422 |      15624 |      19128 |      14918 |      23519 |      25460 |      23139
    num cache misses                 |       9433 |      15255 |       9624 |      10887 |       8239 |      15199 |      16030 |      14234
    miss rate                        |     61.27% |     60.01% |     61.60% |     56.92% |     55.23% |     64.62% |     62.96% |     61.52%
    mpki                             |       1.79 |       3.19 |       1.75 |       2.07 |       1.47 |       3.09 |       3.28 |       2.96
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9652 |      15491 |       9801 |      11183 |      10175 |      17119 |      18258 |      16445
    num cache misses                 |       2874 |       5451 |       1621 |       1914 |       5462 |      10292 |      10461 |       8986
    miss rate                        |     29.78% |     35.19% |     16.54% |     17.12% |     53.68% |     60.12% |     57.30% |     54.64%
    mpki                             |       0.54 |       1.14 |       0.29 |       0.36 |       0.98 |       2.09 |       2.14 |       1.87
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       8894 |          0 |          0 |          0 |       8913 |          0 |          0 |          0
  average dram access latency (ns)   |      62.79 |        inf |        inf |        inf |      62.63 |        inf |        inf |        inf
  average dram queueing delay        |       9.36 |       0.00 |       0.00 |       0.00 |       9.20 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         26 |          9 |          4 |         18 |          4 |          8 |          4 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2302 |       1094 |       1281 |       1636 |       3375 |       3796 |       4641 |       2882
