                                     | Core 0     | Core 1    
  Instructions                       |   13020261 |   12880094
  Cycles                             |    5629407 |    5629137
  IPC                                |       2.31 |       2.29
  Time (ns)                          |    2116319 |    2116217
Branch predictor stats               |            |           
  num correct                        |    1263938 |     445815
  num incorrect                      |      20280 |      21484
  misprediction rate                 |      1.58% |      4.60%
  mpki                               |       1.56 |       1.67
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |     854806 |    1082560
    num misses                       |         19 |         52
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |    4797782 |    4753196
    num misses                       |        810 |        907
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.06 |       0.07
  L2 TLB                             |            |           
    num accesses                     |        829 |        959
    num misses                       |        311 |        492
    miss rate                        |     37.52% |     51.30%
    mpki                             |       0.02 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     854806 |    1082560
    num cache misses                 |       1578 |       1681
    miss rate                        |      0.18% |      0.16%
    mpki                             |       0.12 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |    4798678 |    4753797
    num cache misses                 |      49993 |      59072
    miss rate                        |      1.04% |      1.24%
    mpki                             |       3.84 |       4.59
  Cache L2                           |            |           
    num cache accesses               |      51624 |      60794
    num cache misses                 |      21331 |      23707
    miss rate                        |     41.32% |     39.00%
    mpki                             |       1.64 |       1.84
  Cache L3                           |            |           
    num cache accesses               |      21388 |      23754
    num cache misses                 |       4662 |       4450
    miss rate                        |     21.80% |     18.73%
    mpki                             |       0.36 |       0.35
DRAM summary                         |            |           
  num dram accesses                  |       9111 |          0
  average dram access latency (ns)   |      60.51 |        inf
  average dram queueing delay        |       7.09 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         29 |         20
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
