                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4271544 |    3718481 |    4060174 |    4031844 |    4167037 |    4002233 |    3737019 |    3916853 |    3869341 |    4011247 |    3588241 |    4167389 |    3879050 |    3961862 |    3844392 |    4339522
  Cycles                             |    2140670 |    2093756 |    2119705 |    2122814 |    2122685 |    2108002 |    2099350 |    2097482 |    2093919 |    2099193 |    2111047 |    2102265 |    2096671 |    2113902 |    2094039 |    2116634
  IPC                                |       2.00 |       1.78 |       1.92 |       1.90 |       1.96 |       1.90 |       1.78 |       1.87 |       1.85 |       1.91 |       1.70 |       1.98 |       1.85 |       1.87 |       1.84 |       2.05
  Time (ns)                          |     804763 |     787127 |     796882 |     798051 |     798002 |     792482 |     789230 |     788527 |     787188 |     789171 |     793627 |     790326 |     788222 |     794700 |     787233 |     795727
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1138250 |     432256 |     907843 |     985695 |    1131652 |     827807 |     609819 |     708876 |     798872 |     917299 |     440405 |    1027822 |     724760 |     767446 |     609755 |    1166549
  num incorrect                      |       4051 |       7427 |       4310 |       4481 |       3120 |       4326 |       6212 |       4184 |       3937 |       3064 |       7079 |       3494 |       5984 |       3813 |       4962 |       3282
  misprediction rate                 |      0.35% |      1.69% |      0.47% |      0.45% |      0.27% |      0.52% |      1.01% |      0.59% |      0.49% |      0.33% |      1.58% |      0.34% |      0.82% |      0.49% |      0.81% |      0.28%
  mpki                               |       0.95 |       2.00 |       1.06 |       1.11 |       0.75 |       1.08 |       1.66 |       1.07 |       1.02 |       0.76 |       1.97 |       0.84 |       1.54 |       0.96 |       1.29 |       0.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      87677 |     261827 |     135771 |     110297 |      78697 |     155811 |     200730 |     178087 |     148473 |     123991 |     233902 |     108072 |     180830 |     166651 |     201629 |      82812
    num misses                       |         16 |         53 |         44 |         44 |         46 |         44 |         45 |         50 |         44 |         50 |         45 |         44 |         45 |         44 |         51 |         44
    miss rate                        |      0.02% |      0.02% |      0.03% |      0.04% |      0.06% |      0.03% |      0.02% |      0.03% |      0.03% |      0.04% |      0.02% |      0.04% |      0.02% |      0.03% |      0.03% |      0.05%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1522727 |    1475708 |    1449778 |    1437027 |    1469685 |    1433838 |    1470791 |    1448713 |    1416853 |    1471210 |    1455845 |    1474975 |    1490606 |    1434355 |    1423321 |    1539888
    num misses                       |        469 |        847 |        532 |        484 |        339 |        505 |        561 |        600 |        453 |        432 |        534 |        358 |        441 |        448 |        668 |        390
    miss rate                        |      0.03% |      0.06% |      0.04% |      0.03% |      0.02% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.02% |      0.03% |      0.03% |      0.05% |      0.03%
    mpki                             |       0.11 |       0.23 |       0.13 |       0.12 |       0.08 |       0.13 |       0.15 |       0.15 |       0.12 |       0.11 |       0.15 |       0.09 |       0.11 |       0.11 |       0.17 |       0.09
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        485 |        900 |        576 |        528 |        385 |        549 |        606 |        650 |        497 |        482 |        579 |        402 |        486 |        492 |        719 |        434
    num misses                       |        214 |        382 |        292 |        273 |        241 |        289 |        281 |        335 |        276 |        282 |        278 |        240 |        257 |        277 |        354 |        232
    miss rate                        |     44.12% |     42.44% |     50.69% |     51.70% |     62.60% |     52.64% |     46.37% |     51.54% |     55.53% |     58.51% |     48.01% |     59.70% |     52.88% |     56.30% |     49.24% |     53.46%
    mpki                             |       0.05 |       0.10 |       0.07 |       0.07 |       0.06 |       0.07 |       0.08 |       0.09 |       0.07 |       0.07 |       0.08 |       0.06 |       0.07 |       0.07 |       0.09 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      87677 |     261827 |     135771 |     110297 |      78697 |     155811 |     200730 |     178087 |     148473 |     123991 |     233902 |     108072 |     180830 |     166651 |     201629 |      82812
    num cache misses                 |        863 |       1085 |        854 |        845 |        744 |        875 |        908 |        931 |        899 |        900 |        938 |        757 |        875 |        862 |       1028 |        725
    miss rate                        |      0.98% |      0.41% |      0.63% |      0.77% |      0.95% |      0.56% |      0.45% |      0.52% |      0.61% |      0.73% |      0.40% |      0.70% |      0.48% |      0.52% |      0.51% |      0.88%
    mpki                             |       0.20 |       0.29 |       0.21 |       0.21 |       0.18 |       0.22 |       0.24 |       0.24 |       0.23 |       0.22 |       0.26 |       0.18 |       0.23 |       0.22 |       0.27 |       0.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1523822 |    1476637 |    1450677 |    1437950 |    1470446 |    1434722 |    1471581 |    1449694 |    1417833 |    1472018 |    1456748 |    1475763 |    1491352 |    1435192 |    1424694 |    1540726
    num cache misses                 |       7861 |      14615 |      10356 |       8968 |       7234 |       9821 |      13289 |      12485 |      10124 |       9814 |      14215 |       7553 |      10427 |      10365 |      12820 |       6555
    miss rate                        |      0.52% |      0.99% |      0.71% |      0.62% |      0.49% |      0.68% |      0.90% |      0.86% |      0.71% |      0.67% |      0.98% |      0.51% |      0.70% |      0.72% |      0.90% |      0.43%
    mpki                             |       1.84 |       3.93 |       2.55 |       2.22 |       1.74 |       2.45 |       3.56 |       3.19 |       2.62 |       2.45 |       3.96 |       1.81 |       2.69 |       2.62 |       3.33 |       1.51
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9002 |      16022 |      11469 |      10140 |       8913 |      12064 |      15828 |      14838 |      12054 |      11713 |      16818 |       9357 |      12708 |      12412 |      15401 |       8114
    num cache misses                 |       6405 |       9578 |       8240 |       7659 |       6326 |       8069 |       8201 |       9212 |       8259 |       7434 |       8264 |       6141 |       7530 |       8157 |       9826 |       5717
    miss rate                        |     71.15% |     59.78% |     71.85% |     75.53% |     70.97% |     66.88% |     51.81% |     62.08% |     68.52% |     63.47% |     49.14% |     65.63% |     59.25% |     65.72% |     63.80% |     70.46%
    mpki                             |       1.50 |       2.58 |       2.03 |       1.90 |       1.52 |       2.02 |       2.19 |       2.35 |       2.13 |       1.85 |       2.30 |       1.47 |       1.94 |       2.06 |       2.56 |       1.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6684 |       9910 |       8503 |       7990 |       7265 |       9441 |       9841 |      10640 |       9296 |       8440 |       9941 |       7190 |       8944 |       9343 |      11383 |       6555
    num cache misses                 |       2678 |       3876 |       2267 |       3493 |       4796 |       4923 |       4769 |       5996 |       5429 |       5789 |       5020 |       3814 |       4499 |       5366 |       5944 |       3542
    miss rate                        |     40.07% |     39.11% |     26.66% |     43.72% |     66.02% |     52.14% |     48.46% |     56.35% |     58.40% |     68.59% |     50.50% |     53.05% |     50.30% |     57.43% |     52.22% |     54.04%
    mpki                             |       0.63 |       1.04 |       0.56 |       0.87 |       1.15 |       1.23 |       1.28 |       1.53 |       1.40 |       1.44 |       1.40 |       0.92 |       1.16 |       1.35 |       1.55 |       0.82
  Cache L4                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2954 |       4191 |       2499 |       3806 |       5720 |       6278 |       6387 |       7409 |       6461 |       6791 |       6687 |       4839 |       5900 |       6525 |       7481 |       4360
    num cache misses                 |       2391 |       2818 |       2263 |       2471 |       4796 |       4923 |       4769 |       5996 |       5429 |       5789 |       5020 |       3814 |       4499 |       5366 |       5944 |       3541
    miss rate                        |     80.94% |     67.24% |     90.56% |     64.92% |     83.85% |     78.42% |     74.67% |     80.93% |     84.03% |     85.25% |     75.07% |     78.82% |     76.25% |     82.24% |     79.45% |     81.22%
    mpki                             |       0.56 |       0.76 |       0.56 |       0.61 |       1.15 |       1.23 |       1.28 |       1.53 |       1.40 |       1.44 |       1.40 |       0.92 |       1.16 |       1.35 |       1.55 |       0.82
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3917 |          0 |          0 |          0 |       3912 |          0 |          0 |          0 |       3885 |          0 |          0 |          0 |       3998 |          0 |          0 |          0
  average dram access latency (ns)   |      64.50 |        inf |        inf |        inf |      62.01 |        inf |        inf |        inf |      62.21 |        inf |        inf |        inf |      62.72 |        inf |        inf |        inf
  average dram queueing delay        |      11.07 |       0.00 |       0.00 |       0.00 |       8.58 |       0.00 |       0.00 |       0.00 |       8.78 |       0.00 |       0.00 |       0.00 |       9.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        362 |        937 |        157 |        373 |        593 |        393 |        477 |        950 |       1209 |       1515 |        851 |        629 |        601 |       1126 |       1163 |        624
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1353 |       1365 |       1624 |       1742 |       2542 |       3097 |       2392 |       3148 |       2299 |       2200 |       2161 |       1605 |       2146 |       2398 |       2628 |       1188
