                                     | Core 0     | Core 1    
  Instructions                       |   12940023 |   12880102
  Cycles                             |    5628032 |    5627762
  IPC                                |       2.30 |       2.29
  Time (ns)                          |    2115802 |    2115700
Branch predictor stats               |            |           
  num correct                        |    1237133 |     445848
  num incorrect                      |      20302 |      21450
  misprediction rate                 |      1.61% |      4.59%
  mpki                               |       1.57 |       1.67
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |     854822 |    1082560
    num misses                       |         16 |         52
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |    4771034 |    4753202
    num misses                       |        762 |        836
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.06 |       0.06
  L2 TLB                             |            |           
    num accesses                     |        778 |        888
    num misses                       |        307 |        487
    miss rate                        |     39.46% |     54.84%
    mpki                             |       0.02 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     854822 |    1082560
    num cache misses                 |       1630 |       1583
    miss rate                        |      0.19% |      0.15%
    mpki                             |       0.13 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |    4771936 |    4753803
    num cache misses                 |      49872 |      59048
    miss rate                        |      1.05% |      1.24%
    mpki                             |       3.85 |       4.58
  Cache L2                           |            |           
    num cache accesses               |      51561 |      60665
    num cache misses                 |      21439 |      23477
    miss rate                        |     41.58% |     38.70%
    mpki                             |       1.66 |       1.82
  Cache L3                           |            |           
    num cache accesses               |      21504 |      23518
    num cache misses                 |       4663 |       4450
    miss rate                        |     21.68% |     18.92%
    mpki                             |       0.36 |       0.35
  Cache L4                           |            |           
    num cache accesses               |       4663 |       4451
    num cache misses                 |       4663 |       4450
    miss rate                        |    100.00% |     99.98%
    mpki                             |       0.36 |       0.35
DRAM summary                         |            |           
  num dram accesses                  |       9112 |          0
  average dram access latency (ns)   |      58.14 |        inf
  average dram queueing delay        |       4.71 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         27 |         18
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
