                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5332497 |    4856956 |    5582682 |    5341692 |    5579732 |    4914826 |    4918423 |    4850919
  Cycles                             |    2585547 |    2566784 |    2577126 |    2565408 |    2571896 |    2577107 |    2569216 |    2574652
  IPC                                |       2.06 |       1.89 |       2.17 |       2.08 |       2.17 |       1.91 |       1.91 |       1.88
  Time (ns)                          |     972010 |     964957 |     968845 |     964439 |     966878 |     968837 |     965871 |     967914
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     870833 |     523738 |    1014074 |     553853 |    1210265 |     674822 |     472169 |     679990
  num incorrect                      |       8092 |       8236 |       6252 |       8805 |       5637 |       5815 |       6467 |       7846
  misprediction rate                 |      0.92% |      1.55% |      0.61% |      1.56% |      0.46% |      0.85% |      1.35% |      1.14%
  mpki                               |       1.52 |       1.70 |       1.12 |       1.65 |       1.01 |       1.18 |       1.31 |       1.62
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     269062 |     296726 |     250186 |     372733 |     189069 |     254050 |     309616 |     240197
    num misses                       |         14 |         54 |         45 |         53 |         51 |         45 |         52 |         53
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.01% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1973089 |    2077686 |    1987803 |    2023532 |    1974590 |    1997885 |    2019251 |    2058728
    num misses                       |        474 |        677 |        425 |        566 |        471 |        628 |        735 |        593
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03% |      0.04% |      0.03%
    mpki                             |       0.09 |       0.14 |       0.08 |       0.11 |       0.08 |       0.13 |       0.15 |       0.12
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        488 |        731 |        470 |        619 |        522 |        673 |        787 |        646
    num misses                       |        219 |        406 |        289 |        340 |        295 |        371 |        411 |        356
    miss rate                        |     44.88% |     55.54% |     61.49% |     54.93% |     56.51% |     55.13% |     52.22% |     55.11%
    mpki                             |       0.04 |       0.08 |       0.05 |       0.06 |       0.05 |       0.08 |       0.08 |       0.07
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     269062 |     296726 |     250186 |     372733 |     189069 |     254050 |     309616 |     240197
    num cache misses                 |       1073 |       1192 |        917 |       1205 |        840 |       1063 |       1032 |       1008
    miss rate                        |      0.40% |      0.40% |      0.37% |      0.32% |      0.44% |      0.42% |      0.33% |      0.42%
    mpki                             |       0.20 |       0.25 |       0.16 |       0.23 |       0.15 |       0.22 |       0.21 |       0.21
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1973792 |    2078517 |    1988589 |    2024279 |    1975310 |    1999088 |    2020175 |    2059380
    num cache misses                 |      14359 |      24173 |      14418 |      17489 |      12014 |      20674 |      22385 |      19911
    miss rate                        |      0.73% |      1.16% |      0.73% |      0.86% |      0.61% |      1.03% |      1.11% |      0.97%
    mpki                             |       2.69 |       4.98 |       2.58 |       3.27 |       2.15 |       4.21 |       4.55 |       4.10
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15630 |      25604 |      15510 |      18980 |      14764 |      23652 |      25639 |      23143
    num cache misses                 |       9473 |      15522 |       9577 |      10882 |       8308 |      15252 |      16095 |      14300
    miss rate                        |     60.61% |     60.62% |     61.75% |     57.33% |     56.27% |     64.49% |     62.78% |     61.79%
    mpki                             |       1.78 |       3.20 |       1.72 |       2.04 |       1.49 |       3.10 |       3.27 |       2.95
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9675 |      15766 |       9756 |      11174 |      10219 |      17172 |      18324 |      16529
    num cache misses                 |       2875 |       5535 |       1596 |       1929 |       5438 |      10182 |      10503 |       9021
    miss rate                        |     29.72% |     35.11% |     16.36% |     17.26% |     53.21% |     59.29% |     57.32% |     54.58%
    mpki                             |       0.54 |       1.14 |       0.29 |       0.36 |       0.97 |       2.07 |       2.14 |       1.86
  Cache L4                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3044 |       5762 |       1723 |       2199 |       7321 |      12059 |      12706 |      11230
    num cache misses                 |       2857 |       5524 |       1596 |       1922 |       5438 |      10182 |      10503 |       9021
    miss rate                        |     93.86% |     95.87% |     92.63% |     87.40% |     74.28% |     84.43% |     82.66% |     80.33%
    mpki                             |       0.54 |       1.14 |       0.29 |       0.36 |       0.97 |       2.07 |       2.14 |       1.86
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       8894 |          0 |          0 |          0 |       8914 |          0 |          0 |          0
  average dram access latency (ns)   |      58.26 |        inf |        inf |        inf |      59.47 |        inf |        inf |        inf
  average dram queueing delay        |       4.83 |       0.00 |       0.00 |       0.00 |       6.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         24 |         11 |          1 |         12 |          2 |          1 |          2 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2256 |       1143 |       1231 |       1635 |       3368 |       3610 |       4568 |       2871
